この,this + noun,0.0
かばん,bag,0.0
時計（とけい）,watch,0.0
もいちど,please repeat that,0.0
じゃ,“ok”,0.0
イチゴ,strawberry,0.0
リンゴ,apple,0.0
料理（りょうり）,dish/meal,0.0
紅茶（こうちゃ）,black tea,0.0
お茶（おちゃ）,green tea,0.0
どうぞ,“certainly; go ahead”,0.0
こちらへどうぞ,“this; way please”,0.0
午前（ごぜん）,AM,0.0
午後（ごご）,PM,0.0
ひろ,afternoon,0.0
いや,not good,0.0
たんじょうび,birthday,0.0
今年（ことし）,this year,0.0
月曜日（げつようび）,Monday,0.0
火曜日（かようび）,Tuesday,0.0
水曜日（すいようび）,Wednesday,0.0
木曜日（もくようび）,Thursday,0.0
金曜日（きんようび）,Friday,0.0
土曜日（どようび）,Saturday,0.0
日曜日（にちようび）,Sunday,0.0
銀行（ぎんこう）,bank,0.0
体育館（たいいくかん）,gym,0.0
図書館（としょかん）,library,0.0
病院（びょういん）,hospital,0.0
郵便局（ゆうびんきょく）,post office,0.0
授業（じゅぎょう）,class/lesson,0.0
出かけます（でかけます）,to go somewhere,0.0
休み（やすみ）,off/closed/rest,0.0
花見（はなみ）,flower viewing,0.0
祭り（まつり）,festival,0.0
公園（こうえん）,park,0.0
流下女性（りゅうがこせい）,exchange student,0.0
春（はる）,spring,0.0
夏（なつ）,summer,0.0
秋（あき）,fall,0.0
冬（ふゆ）,winter,0.0
いつ,when,0.0
だれ,who,0.0
意味（いみ）,meaning,0.0
思います（おもいます）,to think,0.0
帰ります（かいります）,to return home,0.0
朝（あさ）,morning,0.0
夜（よる）,night,0.0
より,more,0.0
会社（かいしゃ）,company,0.0
果物（くだもの）,fruit,0.0
新聞（しんぶん）,newspaper,0.0
起きます（おきます）,to wake up,0.0
来ます（きます）,to come,0.0
男（おとこ）,male,0.0
女（おんな）,female,0.0
北（きた）,north,0.0
南（みなみ）,south,0.0
東（ひがし）,east,0.0
西（にし）,west,0.0
飛行機（ひこうき）,airplane,0.0
駅（えき）,train station,0.0
歩いて（あるいて）,by foot,0.0
きれい,pretty,0.0
〜くらい,about,0.0
教会（きょうかい）,church,0.0
緑（みどり）,greenery,0.0
新しい（あたらしい）,new,0.0
古い（ふるい）,old,0.0
甘い（あまい）,sweet,0.0
